origin,destination,count
Salt Lake,Summit,532600
Salt Lake,Tooele,466700
Salt Lake,Uintah,14100
Salt Lake,Utah,1792500
Salt Lake,Wasatch,121500
Salt Lake,Washington,49900
Salt Lake,Wayne,200
Salt Lake,Weber,670100
San Juan,Beaver,100
San Juan,Box Elder,2600
San Juan,Cache,100
San Juan,Carbon,11500
San Juan,Daggett,100
San Juan,Davis,2600
San Juan,Duchesne,1300
San Juan,Emery,25100
San Juan,Garfield,100
San Juan,Grand,26400
San Juan,Iron,100
San Juan,Juab,300
San Juan,Kane,100
San Juan,Millard,100
San Juan,Morgan,0
San Juan,Piute,0
San Juan,Rich,0
San Juan,Salt Lake,9300
San Juan,San Juan,0
San Juan,Sanpete,300
San Juan,Sevier,1100
San Juan,Summit,200
San Juan,Tooele,500
San Juan,Uintah,100
San Juan,Utah,10800
San Juan,Wasatch,400
San Juan,Washington,400
San Juan,Wayne,1000
San Juan,Weber,2500
Sanpete,Beaver,900
Sanpete,Box Elder,1700
Sanpete,Cache,0
Sanpete,Carbon,2200
Sanpete,Daggett,0
Sanpete,Davis,2800
Sanpete,Duchesne,100
Sanpete,Emery,900
Sanpete,Garfield,500
Sanpete,Grand,200
Sanpete,Iron,1300
Sanpete,Juab,10100
Sanpete,Kane,100
Sanpete,Millard,1400
Sanpete,Morgan,0
Sanpete,Piute,100
Sanpete,Rich,0
Sanpete,Salt Lake,16800
Sanpete,San Juan,300
Sanpete,Sanpete,0
Sanpete,Sevier,32400
Sanpete,Summit,100
Sanpete,Tooele,900
Sanpete,Uintah,0
Sanpete,Utah,20200
Sanpete,Wasatch,200
Sanpete,Washington,1100
Sanpete,Wayne,100
Sanpete,Weber,1800
Sevier,Beaver,25000
Sevier,Box Elder,1800
Sevier,Cache,300
Sevier,Carbon,11200
Sevier,Daggett,0
Sevier,Davis,4500
Sevier,Duchesne,500
Sevier,Emery,33100
Sevier,Garfield,4600
Sevier,Grand,3800
Sevier,Iron,39800
Sevier,Juab,15400
Sevier,Kane,5000
Sevier,Millard,7000
Sevier,Morgan,500
Sevier,Piute,5400
Sevier,Rich,0
Sevier,Salt Lake,21700
Sevier,San Juan,1200
Sevier,Sanpete,27300
Sevier,Sevier,0
Sevier,Summit,400
Sevier,Tooele,1100
Sevier,Uintah,300
Sevier,Utah,15800
Sevier,Wasatch,200
Sevier,Washington,26700
Sevier,Wayne,4700
Sevier,Weber,2500
Summit,Beaver,2700
Summit,Box Elder,11400
Summit,Cache,2700
Summit,Carbon,400
Summit,Daggett,100
Summit,Davis,48900
Summit,Duchesne,6500
Summit,Emery,100
Summit,Garfield,100
Summit,Grand,100
Summit,Iron,3400
Summit,Juab,4400
Summit,Kane,100
Summit,Millard,2000
Summit,Morgan,10000
Summit,Piute,0
Summit,Rich,400
Summit,Salt Lake,506200
Summit,San Juan,100
Summit,Sanpete,600
Summit,Sevier,200
Summit,Summit,0
Summit,Tooele,20100
Summit,Uintah,1600
Summit,Utah,57100
Summit,Wasatch,148300
Summit,Washington,1300
Summit,Wayne,0
Summit,Weber,25800
Tooele,Beaver,4100
Tooele,Box Elder,27400
Tooele,Cache,7000
Tooele,Carbon,2700
Tooele,Daggett,0
Tooele,Davis,78400
Tooele,Duchesne,600
Tooele,Emery,2400
